cell_id,model,dataset,algo,policy,use_merge,total_iters,n_attempts,n_accepted,acceptance_rate,first_merge_iter,last_merge_iter,mean_merge_iter,median_merge_iter,relative_first,relative_density,early_merge_count,early_merge_ratio,test_score,nomerge_baseline,lift_over_nomerge,severity_flag,run_dir
gpt-4.1-mini|musique|combine_all|immediate,gpt-4.1-mini,musique,combine_all,immediate,True,146,10,8,0.8,42,147,85.6,85.0,0.2876712328767123,0.0684931506849315,0,0.0,54.33,51.33,3.0,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/musique/combine_all_immediate_s0
gpt-4.1-mini|musique|original|budget_proportional,gpt-4.1-mini,musique,original,budget_proportional,True,180,7,6,0.8571428571428571,58,137,99.42857142857143,100.0,0.32222222222222224,0.03888888888888889,0,0.0,55.33,51.33,4.0,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/musique/original_budget_proportional_s0
gpt-4.1-mini|musique|summarize_before|budget_proportional,gpt-4.1-mini,musique,summarize_before,budget_proportional,True,179,8,6,0.75,58,180,112.375,110.0,0.3240223463687151,0.0446927374301676,0,0.0,55.33,51.33,4.0,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/musique/summarize_before_budget_proportional_s0
gpt-4.1-mini|musique|original|immediate,gpt-4.1-mini,musique,original,immediate,True,193,10,8,0.8,10,194,100.2,87.5,0.05181347150259067,0.05181347150259067,3,0.3,55.33,51.33,4.0,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/musique/original_immediate_s0
gpt-4.1-mini|2wiki|nomerge|nomerge,gpt-4.1-mini,2wiki,nomerge,nomerge,False,232,0,0,nan,nan,nan,nan,nan,nan,nan,0,nan,,,nan,,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/2wiki/nomerge_s0
gpt-4.1-mini|2wiki|summarize_before|immediate,gpt-4.1-mini,2wiki,summarize_before,immediate,True,218,4,3,0.75,24,184,122.5,141.0,0.11009174311926606,0.01834862385321101,1,0.25,,,nan,,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/2wiki/summarize_before_immediate_s0
gpt-4.1-mini|2wiki|combine_all|score_plateau,gpt-4.1-mini,2wiki,combine_all,score_plateau,True,577,0,0,nan,nan,nan,nan,nan,nan,nan,0,nan,,,nan,,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/2wiki/combine_all_score_plateau_s0
gpt-4.1-mini|2wiki|combine_all|budget_proportional,gpt-4.1-mini,2wiki,combine_all,budget_proportional,True,130,8,5,0.625,38,125,70,69.0,0.2923076923076923,0.06153846153846154,0,0.0,,,nan,,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/2wiki/combine_all_budget_proportional_s0
gpt-4.1-mini|2wiki|original|score_plateau,gpt-4.1-mini,2wiki,original,score_plateau,True,213,2,2,1.0,82,146,114,114.0,0.38497652582159625,0.009389671361502348,0,0.0,,,nan,,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/2wiki/original_score_plateau_s0
gpt-4.1-mini|2wiki|summarize_before|score_plateau,gpt-4.1-mini,2wiki,summarize_before,score_plateau,True,207,7,1,0.14285714285714285,82,183,134.85714285714286,127.0,0.3961352657004831,0.033816425120772944,0,0.0,,,nan,,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/2wiki/summarize_before_score_plateau_s0
gpt-4.1-mini|2wiki|combine_all|immediate,gpt-4.1-mini,2wiki,combine_all,immediate,True,254,5,5,1.0,98,255,164.2,136.0,0.3858267716535433,0.01968503937007874,0,0.0,,,nan,,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/2wiki/combine_all_immediate_s0
gpt-4.1-mini|2wiki|original|budget_proportional,gpt-4.1-mini,2wiki,original,budget_proportional,True,381,1,0,0.0,284,284,284,284.0,0.7454068241469817,0.0026246719160104987,0,0.0,,,nan,,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/2wiki/original_budget_proportional_s0
gpt-4.1-mini|2wiki|summarize_before|budget_proportional,gpt-4.1-mini,2wiki,summarize_before,budget_proportional,True,451,6,2,0.3333333333333333,75,228,134.83333333333334,103.0,0.1662971175166297,0.013303769401330377,4,0.6666666666666666,,,nan,,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/2wiki/summarize_before_budget_proportional_s0
gpt-4.1-mini|2wiki|original|immediate,gpt-4.1-mini,2wiki,original,immediate,True,189,5,5,1.0,45,105,68.4,62.0,0.23809523809523808,0.026455026455026454,1,0.2,,,nan,,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/2wiki/original_immediate_s0
gpt-4.1-mini|ifbench|nomerge|nomerge,gpt-4.1-mini,ifbench,nomerge,nomerge,False,36,0,0,nan,nan,nan,nan,nan,nan,nan,0,nan,48.98,48.98,0.0,,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/ifbench/nomerge_s0
gpt-4.1-mini|ifbench|summarize_before|immediate,gpt-4.1-mini,ifbench,summarize_before,immediate,True,60,3,1,0.3333333333333333,9,26,19,22.0,0.15,0.05,1,0.3333333333333333,52.21,48.98,3.230000000000004,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/ifbench/summarize_before_immediate_s0
gpt-4.1-mini|ifbench|combine_all|score_plateau,gpt-4.1-mini,ifbench,combine_all,score_plateau,True,51,1,1,1.0,31,31,31,31.0,0.6078431372549019,0.0196078431372549,0,0.0,48.3,48.98,-0.6799999999999997,bad,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/ifbench/combine_all_score_plateau_s0
gpt-4.1-mini|ifbench|combine_all|budget_proportional,gpt-4.1-mini,ifbench,combine_all,budget_proportional,True,38,4,3,0.75,13,37,23.75,22.5,0.34210526315789475,0.10526315789473684,0,0.0,50.85,48.98,1.8700000000000045,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/ifbench/combine_all_budget_proportional_s0
gpt-4.1-mini|ifbench|original|score_plateau,gpt-4.1-mini,ifbench,original,score_plateau,True,55,2,1,0.5,51,55,53,53.0,0.9272727272727272,0.03636363636363636,0,0.0,48.64,48.98,-0.3399999999999963,bad,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/ifbench/original_score_plateau_s0
gpt-4.1-mini|ifbench|summarize_before|score_plateau,gpt-4.1-mini,ifbench,summarize_before,score_plateau,True,53,1,1,1.0,42,42,42,42.0,0.7924528301886793,0.018867924528301886,0,0.0,46.94,48.98,-2.039999999999999,bad,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/ifbench/summarize_before_score_plateau_s0
gpt-4.1-mini|ifbench|combine_all|immediate,gpt-4.1-mini,ifbench,combine_all,immediate,True,41,4,3,0.75,9,30,22.75,26.0,0.21951219512195122,0.0975609756097561,1,0.25,50.51,48.98,1.5300000000000011,good,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/ifbench/combine_all_immediate_s0
gpt-4.1-mini|ifbench|original|budget_proportional,gpt-4.1-mini,ifbench,original,budget_proportional,True,30,3,3,1.0,13,28,19.666666666666668,18.0,0.43333333333333335,0.1,0,0.0,48.98,48.98,0.0,bad,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/ifbench/original_budget_proportional_s0
gpt-4.1-mini|ifbench|summarize_before|budget_proportional,gpt-4.1-mini,ifbench,summarize_before,budget_proportional,True,53,5,2,0.4,13,51,34.2,43.0,0.24528301886792453,0.09433962264150944,1,0.2,48.3,48.98,-0.6799999999999997,bad,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/ifbench/summarize_before_budget_proportional_s0
gpt-4.1-mini|ifbench|original|immediate,gpt-4.1-mini,ifbench,original,immediate,True,47,4,3,0.75,9,47,31.25,34.5,0.19148936170212766,0.0851063829787234,1,0.25,48.81,48.98,-0.1699999999999946,bad,results/sec4_configuration_sweep_seed0/gpt-4.1-mini/ifbench/original_immediate_s0
qwen3-8b|hover|nomerge|nomerge,qwen3-8b,hover,nomerge,nomerge,False,128,0,0,nan,nan,nan,nan,nan,nan,nan,0,nan,47.67,47.67,0.0,,results/sec4_configuration_sweep_seed0/qwen3-8b/hover/nomerge_s0
qwen3-8b|hover|summarize_before|immediate,qwen3-8b,hover,summarize_before,immediate,True,119,12,8,0.6666666666666666,4,120,70.33333333333333,72.5,0.03361344537815126,0.10084033613445378,2,0.16666666666666666,46.0,47.67,-1.6700000000000017,bad,results/sec4_configuration_sweep_seed0/qwen3-8b/hover/summarize_before_immediate_s0
qwen3-8b|hover|combine_all|score_plateau,qwen3-8b,hover,combine_all,score_plateau,True,90,5,4,0.8,32,86,58.4,53.0,0.35555555555555557,0.05555555555555555,0,0.0,42.33,47.67,-5.340000000000003,severe,results/sec4_configuration_sweep_seed0/qwen3-8b/hover/combine_all_score_plateau_s0
qwen3-8b|hover|combine_all|budget_proportional,qwen3-8b,hover,combine_all,budget_proportional,True,104,9,6,0.6666666666666666,45,105,66.77777777777777,63.0,0.4326923076923077,0.08653846153846154,0,0.0,47.33,47.67,-0.3400000000000034,bad,results/sec4_configuration_sweep_seed0/qwen3-8b/hover/combine_all_budget_proportional_s0
qwen3-8b|hover|original|score_plateau,qwen3-8b,hover,original,score_plateau,True,116,4,4,1.0,32,117,64.25,54.0,0.27586206896551724,0.034482758620689655,0,0.0,48.0,47.67,0.3299999999999983,good,results/sec4_configuration_sweep_seed0/qwen3-8b/hover/original_score_plateau_s0
qwen3-8b|hover|summarize_before|score_plateau,qwen3-8b,hover,summarize_before,score_plateau,True,87,6,4,0.6666666666666666,32,88,63.333333333333336,65.0,0.367816091954023,0.06896551724137931,0,0.0,46.33,47.67,-1.3400000000000034,bad,results/sec4_configuration_sweep_seed0/qwen3-8b/hover/summarize_before_score_plateau_s0
