group,task,cell,idx,origin,parents,val,parent_val,val_delta,mc_at_disc,prompt_chars,n_predictors
phase_a_qwen,hover,nomerge_s0,2,reflect,[0],0.31666666666666665,0.27,0.046666666666666634,618,1723,4
phase_a_qwen,hover,nomerge_s0,3,reflect,[1],0.37,0.3466666666666667,0.023333333333333317,972,4100,4
phase_a_qwen,hover,nomerge_s0,4,reflect,[2],0.3333333333333333,0.31666666666666665,0.016666666666666663,1284,4650,4
phase_a_qwen,hover,nomerge_s0,5,reflect,[4],0.32666666666666666,0.3333333333333333,-0.006666666666666654,1647,6203,4
phase_a_qwen,hover,nomerge_s0,6,reflect,[2],0.36666666666666664,0.31666666666666665,0.04999999999999999,1983,3925,4
phase_a_qwen,hover,nomerge_s0,7,reflect,[3],0.38666666666666666,0.37,0.016666666666666663,2361,6137,4
phase_a_qwen,hover,nomerge_s0,8,reflect,[4],0.3233333333333333,0.3333333333333333,-0.010000000000000009,2739,6792,4
phase_a_qwen,hover,nomerge_s0,9,reflect,[2],0.35333333333333333,0.31666666666666665,0.03666666666666668,3057,3650,4
phase_a_qwen,hover,nomerge_s0,10,reflect,[5],0.3333333333333333,0.32666666666666666,0.006666666666666654,3381,8080,4
phase_a_qwen,hover,nomerge_s0,11,reflect,[1],0.3466666666666667,0.3466666666666667,0.0,3693,4177,4
phase_a_qwen,hover,nomerge_s0,12,reflect,[7],0.3933333333333333,0.38666666666666666,0.006666666666666654,4038,9147,4
phase_a_qwen,hover,nomerge_s0,13,reflect,[8],0.3566666666666667,0.3233333333333333,0.03333333333333338,4383,8813,4
phase_a_qwen,hover,nomerge_s0,14,reflect,[7],0.3933333333333333,0.38666666666666666,0.006666666666666654,4725,6925,4
phase_a_qwen,hover,nomerge_s0,15,reflect,[14],0.3933333333333333,0.3933333333333333,0.0,5046,8960,4
phase_a_qwen,hover,nomerge_s0,16,reflect,[1],0.39,0.3466666666666667,0.043333333333333335,5454,3922,4
phase_a_qwen,hover,nomerge_s0,17,reflect,[1],0.3466666666666667,0.3466666666666667,0.0,5778,4249,4
phase_a_qwen,hover,nomerge_s0,18,reflect,[14],0.38666666666666666,0.3933333333333333,-0.006666666666666654,6126,8738,4
phase_a_qwen,hover,nomerge_s0,19,reflect,[10],0.3566666666666667,0.3333333333333333,0.023333333333333373,6432,10369,4
phase_a_qwen,hover,nomerge_s0,20,reflect,[17],0.37666666666666665,0.3466666666666667,0.02999999999999997,6750,6669,4
phase_a_qwen,hover,original_budget_proportional_s0,0,seed,[None],0.27,,,0,290,4
phase_a_qwen,hover,original_budget_proportional_s0,1,reflect,[0],0.3466666666666667,0.27,0.07666666666666666,306,2342,4
phase_a_qwen,hover,original_budget_proportional_s0,2,reflect,[0],0.31666666666666665,0.27,0.046666666666666634,618,1723,4
phase_a_qwen,hover,original_budget_proportional_s0,3,reflect,[1],0.37,0.3466666666666667,0.023333333333333317,972,4100,4
phase_a_qwen,hover,original_budget_proportional_s0,4,reflect,[2],0.3333333333333333,0.31666666666666665,0.016666666666666663,1284,4650,4
phase_a_qwen,hover,original_budget_proportional_s0,5,reflect,[4],0.32666666666666666,0.3333333333333333,-0.006666666666666654,1647,6203,4
phase_a_qwen,hover,original_budget_proportional_s0,6,reflect,[2],0.36666666666666664,0.31666666666666665,0.04999999999999999,1983,3925,4
phase_a_qwen,hover,original_budget_proportional_s0,7,reflect,[3],0.38666666666666666,0.37,0.016666666666666663,2361,6137,4
phase_a_qwen,hover,original_budget_proportional_s0,8,merge,"[3, 5]",0.4033333333333333,0.37,0.033333333333333326,2666,7027,4
phase_a_qwen,hover,original_budget_proportional_s0,9,reflect,[1],0.37,0.3466666666666667,0.023333333333333317,3005,3982,4
phase_a_qwen,hover,original_budget_proportional_s0,10,merge,"[3, 6]",0.41,0.37,0.03999999999999998,3310,6302,4
phase_a_qwen,hover,original_budget_proportional_s0,11,reflect,[6],0.41,0.36666666666666664,0.043333333333333335,3622,5887,4
phase_a_qwen,hover,original_budget_proportional_s0,12,merge,"[1, 6]",0.4033333333333333,0.36666666666666664,0.03666666666666668,3927,5977,4
phase_a_qwen,hover,original_budget_proportional_s0,13,reflect,[1],0.33,0.3466666666666667,-0.016666666666666663,4263,5250,4
phase_a_qwen,hover,original_budget_proportional_s0,14,reflect,[2],0.3466666666666667,0.31666666666666665,0.030000000000000027,4703,3509,4
phase_a_qwen,hover,original_budget_proportional_s0,15,merge,"[4, 7]",0.38666666666666666,0.38666666666666666,0.0,5008,6137,4
