run_dir,run_id,iteration,event,p1_idx,p2_idx,anc_idx,new_idx,lift_full_val,sentence_entropy,predictor_entropy,coverage_p1,coverage_p2,coverage_min,novelty_fraction,behavioral_delta_rate,length_delta_vs_anc_total,subsample_win,subsample_tie,subsample_loss,parent_gen_depth_p1,parent_gen_depth_p2,parent_gen_depth_max,is_merge_of_merge,noop_predictor_rate,snr_semantic_novelty_rate,slc_lost_count_p1,slc_lost_count_p2,slc_lost_count_max,n_merged_sentences,n_p1_sentences,n_p2_sentences,judge_clarity,judge_specificity,judge_internal_consistency,judge_coverage_vs_parents,judge_contradiction_present,judge_contradiction_span
P1_result/phase_a_main/hover/original_immediate_s0,original_immediate_s0,55,accepted,8,11,0,12,0.0,0.9310558233850329,1.0,1.0,0.6167520495876191,0.6167520495876191,0.0,0.0,1021,0,3,2,3,3,3,True,0.5,0.0,0,5,5,67,67,50,5,5,5,5,False,
P1_result/phase_a_main/hover/original_immediate_s0,original_immediate_s0,60,accepted,6,11,0,14,-0.016666666666666663,0.8410172521617674,0.946394630357186,0.6296952810103925,0.7727272727272727,0.6296952810103925,0.0,0.0,1214,0,4,1,2,3,3,False,0.25,0.0,1,0,1,74,54,50,5,5,5,5,False,
P1_result/phase_a_main/hover/original_immediate_s0,original_immediate_s0,68,accepted,12,15,3,16,0.0,0.9844268978000115,1.0,1.0,0.5987610537805677,0.5987610537805677,0.0,0.0,652,0,3,2,4,3,4,True,0.5,0.0,0,4,4,67,67,62,5,5,5,5,False,
P1_result/phase_a_main/hover/original_immediate_s0,original_immediate_s0,73,accepted,7,15,3,18,0.006666666666666654,0.9632238106222109,0.946394630357186,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.0,0.0,781,0,4,1,2,3,3,False,0.5,0.0,0,0,0,75,43,62,5,5,5,5,False,
P1_result/phase_a_main/hover/original_immediate_s0,original_immediate_s0,85,accepted,11,15,0,20,-0.013333333333333364,0.8439289380438535,0.946394630357186,0.7692307692307693,0.6296952810103925,0.6296952810103925,0.0,0.0,1343,0,4,1,3,3,3,False,0.25,0.0,0,0,0,82,50,62,5,5,5,5,False,
P1_result/phase_a_main/hover/original_score_plateau_s0,original_score_plateau_s0,22,rejected,3,4,0,,,0.6772167064445875,0.946394630357186,0.5295138888888888,0.7916666666666667,0.5295138888888888,0.0,0.0,1012,0,1,4,1,2,2,False,0.25,,,,,,,,,,,,,
P1_result/phase_a_main/hover/original_score_plateau_s0,original_score_plateau_s0,38,rejected,4,5,0,,,0.6703075011115167,0.946394630357186,0.6173886766830756,0.765625,0.6173886766830756,0.0,0.0,1157,0,2,3,2,2,2,False,0.25,,,,,,,,,,,,,
P1_result/phase_a_main/hover/original_score_plateau_s0,original_score_plateau_s0,42,accepted,4,6,2,9,0.003333333333333355,0.8412118131443582,0.946394630357186,0.8573843050566838,0.7638888888888888,0.7638888888888888,0.0,0.0,462,0,3,2,2,2,2,False,0.5,0.0,0,0,0,44,39,28,5,5,5,5,False,
P1_result/phase_a_main/hover/original_score_plateau_s0,original_score_plateau_s0,63,rejected,9,10,0,,,0.6285417682855349,0.946394630357186,0.5874078965488838,0.7638888888888888,0.5874078965488838,0.0,0.0,1077,0,2,3,3,2,3,True,0.25,,,,,,,,,,,,,
P1_result/phase_a_main/hover/original_score_plateau_s0,original_score_plateau_s0,73,rejected,3,9,0,,,0.6628061327333954,0.946394630357186,0.529040404040404,0.7916666666666667,0.529040404040404,0.0,0.0,1134,0,1,4,1,3,3,True,0.25,,,,,,,,,,,,,
P1_result/phase_a_main/hover/original_score_plateau_s0,original_score_plateau_s0,75,rejected,4,8,0,,,0.6852013686017301,0.946394630357186,0.7777777777777778,0.5295138888888888,0.5295138888888888,0.0,0.2,1147,0,2,3,2,2,2,False,0.25,,,,,,,,,,,,,
P1_result/phase_a_main/hover/original_score_plateau_s0,original_score_plateau_s0,84,accepted,4,10,0,16,-0.013333333333333364,0.6285417682855349,0.946394630357186,0.5915614126241131,0.7638888888888888,0.5915614126241131,0.0,0.0,1077,0,5,0,2,2,2,False,0.25,0.0,0,0,0,69,39,54,5,5,5,5,False,
P1_result/phase_a_main/hover/original_score_plateau_s0,original_score_plateau_s0,97,rejected,5,12,0,,,0.7214413200951841,0.946394630357186,0.7678571428571429,0.6173886766830756,0.6173886766830756,0.0,0.0,1434,0,1,4,2,3,3,False,0.25,,,,,,,,,,,,,
P1_result/phase_a_main/hover/original_score_plateau_s0,original_score_plateau_s0,107,accepted,12,17,0,19,-0.006666666666666654,0.7322393118460072,1.0,0.5608974358974359,0.5711589456648477,0.5608974358974359,0.0,0.0,1688,0,3,2,3,4,4,False,0.0,0.0,0,3,3,92,49,80,5,5,5,5,False,
P1_result/phase_a_main/hover/original_score_plateau_s0,original_score_plateau_s0,109,accepted,9,11,0,21,-0.006666666666666654,0.6973038345409183,0.946394630357186,0.6174862796477969,0.7651515151515151,0.6174862796477969,0.0,0.0,1375,0,3,2,3,3,3,True,0.25,0.0,2,0,2,82,44,60,5,5,5,5,False,
P1_result/phase_a_main/hover/summarize_before_budget_proportional_s0,summarize_before_budget_proportional_s0,45,rejected,4,6,0,,,0.39866184999253024,0.946394630357186,0.7959059430006087,0.32431753675889935,0.32431753675889935,0.11879432624113476,0.0,1180,0,1,4,3,1,3,False,0.25,,,,,,,,,,,,,
P1_result/phase_a_main/hover/summarize_before_budget_proportional_s0,summarize_before_budget_proportional_s0,51,accepted,4,7,0,9,0.006666666666666654,0.4518565881954044,0.946394630357186,0.8658720495775591,0.353547224824284,0.353547224824284,0.09166666666666666,0.0,1271,0,4,1,3,1,3,False,0.25,0.046875,1,5,5,64,68,35,5,5,5,5,False,
P1_result/phase_a_main/hover/summarize_before_budget_proportional_s0,summarize_before_budget_proportional_s0,68,accepted,5,6,0,11,0.0633333333333333,0.3253220415323265,0.946394630357186,0.8031979609084479,0.32745316976626615,0.32745316976626615,0.08960573476702509,0.0,1185,0,4,1,4,1,4,False,0.25,0.05084745762711865,3,0,3,59,73,27,5,5,5,5,False,
P1_result/phase_a_main/hover/summarize_before_budget_proportional_s0,summarize_before_budget_proportional_s0,73,accepted,1,12,0,13,-0.010000000000000009,0.7442939471117122,0.946394630357186,0.765625,0.7692307692307693,0.765625,0.0,0.0,813,0,3,2,1,1,1,False,0.5,0.0,0,0,0,47,31,22,5,5,5,5,False,
P1_result/phase_a_main/hover/summarize_before_budget_proportional_s0,summarize_before_budget_proportional_s0,77,accepted,13,14,0,15,-0.036666666666666625,0.7316558270093222,1.0,0.5986661729619231,0.5490616492335246,0.5490616492335246,0.0687732342007435,0.0,1173,0,4,1,2,2,2,True,0.25,0.0,1,5,5,63,47,58,5,5,5,5,False,
P1_result/phase_a_main/hover/summarize_before_budget_proportional_s0,summarize_before_budget_proportional_s0,96,accepted,2,9,0,17,0.009999999999999953,0.8868595071429147,0.946394630357186,0.5764741899904245,0.8230876439173636,0.5764741899904245,0.10681399631675875,0.0,1090,0,3,2,2,4,4,True,0.5,0.03571428571428571,4,1,4,56,52,64,5,5,5,5,False,
P1_result/phase_a_main/hover/summarize_before_budget_proportional_s0,summarize_before_budget_proportional_s0,115,accepted,12,16,0,19,0.013333333333333308,0.709529487043629,0.946394630357186,0.78125,0.765625,0.765625,0.0,0.0,819,0,4,1,1,1,1,False,0.5,0.0,0,0,0,54,22,38,5,5,5,5,False,
P1_result/phase_a_main/hover/summarize_before_budget_proportional_s0,summarize_before_budget_proportional_s0,118,accepted,2,14,0,21,-0.0566666666666667,0.9972301143765978,1.0,0.562200956937799,0.5623342175066313,0.562200956937799,0.0,0.0,1715,0,4,1,2,2,2,False,0.0,0.0,0,0,0,102,52,58,5,5,5,5,False,
P1_result/phase_a_main/hover/summarize_before_immediate_s0,summarize_before_immediate_s0,65,accepted,7,8,0,9,-0.013333333333333364,0.6478505850300689,1.0,0.5628966100902006,0.5827680000959946,0.5628966100902006,0.07889908256880734,0.0,1043,0,3,2,3,2,3,False,0.25,0.0,2,2,2,68,64,42,5,5,5,5,False,
P1_result/phase_a_main/hover/summarize_before_immediate_s0,summarize_before_immediate_s0,67,accepted,3,8,0,11,-0.003333333333333355,0.6398243839286435,0.946394630357186,0.5628966100902006,0.7994346667626613,0.5628966100902006,0.13846153846153847,0.0,556,0,4,1,1,2,2,False,0.5,0.0,3,2,3,32,30,42,5,5,5,5,False,
P1_result/phase_a_main/hover/summarize_before_immediate_s0,summarize_before_immediate_s0,77,rejected,3,12,0,,,0.7486426615339566,0.946394630357186,0.775,0.7916666666666667,0.775,0.0,0.0,748,0,1,4,1,1,1,False,0.5,,,,,,,,,,,,,
P1_result/phase_a_main/hover/summarize_before_immediate_s0,summarize_before_immediate_s0,85,accepted,10,11,0,14,0.0,0.8997437586982626,1.0,1.0,0.556060606060606,0.556060606060606,0.0,0.0,1432,0,3,2,5,3,5,True,0.5,0.0,0,0,0,89,89,32,5,5,5,5,False,
P1_result/phase_a_main/hover/summarize_before_immediate_s0,summarize_before_immediate_s0,89,accepted,7,13,0,16,0.0,0.4797546847910397,0.946394630357186,0.3399646538732807,0.7182373292850321,0.3399646538732807,0.13253012048192772,0.0,757,0,4,1,3,4,4,False,0.25,0.07317073170731707,9,2,9,41,64,48,5,5,5,5,False,
P1_result/phase_a_main/hover/summarize_before_immediate_s0,summarize_before_immediate_s0,96,accepted,5,11,0,18,0.010000000000000009,0.643871800745511,1.0,0.5586937492190244,0.7017170847989813,0.5586937492190244,0.045871559633027525,0.0,827,0,3,2,2,3,3,True,0.25,0.0,3,0,3,44,42,32,5,5,5,5,False,
P1_result/phase_a_main/hover/summarize_before_immediate_s0,summarize_before_immediate_s0,104,accepted,15,17,0,20,0.026666666666666672,0.9891350694937823,0.946394630357186,0.7708333333333334,0.7708333333333333,0.7708333333333333,0.0,0.0,1419,0,4,1,4,2,4,False,0.5,0.0,0,0,0,95,65,60,5,5,5,5,False,
P1_result/phase_a_main/hover/summarize_before_score_plateau_s0,summarize_before_score_plateau_s0,108,accepted,4,6,0,13,-0.07,0.7728111651912001,0.946394630357186,0.8806302608973229,0.6330053792729211,0.6330053792729211,0.10050251256281408,0.2,723,1,2,2,2,2,2,False,0.5,0.04878048780487805,0,0,0,41,39,28,5,5,5,5,False,
P1_result/phase_a_main/hover/summarize_before_score_plateau_s0,summarize_before_score_plateau_s0,130,rejected,5,12,0,,,0.6967278852894773,1.0,0.5515562629359388,0.5890628873975237,0.5515562629359388,0.08,0.0,937,0,2,3,2,4,4,False,0.25,,,,,,,,,,,,,
P1_result/phase_a_main/hover/summarize_before_score_plateau_s0,summarize_before_score_plateau_s0,139,accepted,6,12,2,18,-0.036666666666666625,0.7720037379335225,0.946394630357186,0.7678571428571429,0.8573843050566838,0.7678571428571429,0.0,0.0,738,0,3,2,2,4,4,False,0.5,0.0,0,0,0,64,28,59,5,5,5,5,False,
P1_result/phase_a_main/pupa/original_immediate_s0,original_immediate_s0,26,rejected,5,6,0,,,0.28998604703320907,0.0,1.0,0.19647927306260413,0.19647927306260413,0.0,0.0,1050,0,3,2,4,1,4,False,0.0,,,,,,,,,,,,,
P1_result/phase_a_main/pupa/original_score_plateau_s0,original_score_plateau_s0,37,rejected,2,4,0,,,0.4138168503036338,0.0,1.0,0.25416756823160486,0.25416756823160486,0.0,0.0,872,0,3,2,2,2,2,False,0.0,,,,,,,,,,,,,
P1_result/phase_a_main/pupa/original_score_plateau_s0,original_score_plateau_s0,48,rejected,6,9,0,,,0.42622865699814483,0.0,0.21207977381910376,1.0,0.21207977381910376,0.0,0.0,956,0,3,2,3,3,3,False,0.0,,,,,,,,,,,,,
P1_result/phase_a_main/pupa/original_score_plateau_s0,original_score_plateau_s0,59,rejected,6,7,0,,,0.4288109647301171,0.0,0.23590230066176376,1.0,0.23590230066176376,0.0,0.0,933,0,3,2,3,3,3,False,0.0,,,,,,,,,,,,,
P1_result/phase_a_main/pupa/original_score_plateau_s0,original_score_plateau_s0,63,rejected,9,11,1,,,0.4959690720618337,0.0,1.0,0.2785952615934585,0.2785952615934585,0.0,0.0,471,0,3,2,3,3,3,False,0.0,,,,,,,,,,,,,
P1_result/phase_a_main/pupa/original_score_plateau_s0,original_score_plateau_s0,68,rejected,5,6,1,,,0.3999380474390278,0.0,1.0,0.22909210043594425,0.22909210043594425,0.0,0.0,644,0,3,2,4,3,4,False,0.0,,,,,,,,,,,,,
P1_result/phase_a_main/pupa/original_score_plateau_s0,original_score_plateau_s0,72,accepted,6,11,0,14,0.0,0.2351933818192415,0.0,0.18718612283216202,1.0,0.18718612283216202,0.0,0.0,976,0,3,2,3,3,3,False,0.0,0.0,10,0,10,51,44,51,5,5,5,5,False,
P1_result/phase_a_main/pupa/original_score_plateau_s0,original_score_plateau_s0,75,accepted,3,14,1,16,-0.022522522522522515,0.823029340354178,1.0,0.6455698853970413,0.6903855928401414,0.6455698853970413,0.0,0.0,777,0,3,2,3,4,4,True,0.0,0.0,2,0,2,67,62,51,5,5,5,5,False,
P1_result/phase_a_main/pupa/original_score_plateau_s0,original_score_plateau_s0,79,rejected,5,14,2,,,0.8095879284725996,1.0,0.6455698853970413,0.6290870972200074,0.6290870972200074,0.0,0.0,361,0,2,3,4,4,4,True,0.0,,,,,,,,,,,,,
P2_result/phase_a_main/hotpotqa/combine_all_budget_proportional_s0,combine_all_budget_proportional_s0,74,accepted,3,6,0,7,0.020000000000000018,0.9195770035933354,0.946394630357186,1.0,0.7664734320184821,0.7664734320184821,0.0026455026455026454,0.0,1909,0,3,2,3,3,3,False,0.25,0.0,0,0,0,116,70,55,5,5,5,5,False,
P2_result/phase_a_main/hotpotqa/combine_all_budget_proportional_s0,combine_all_budget_proportional_s0,95,accepted,3,5,0,9,0.030000000000000027,0.9280489369364429,0.946394630357186,1.0,0.7661775740303164,0.7661775740303164,0.0026917900403768506,0.0,1889,0,3,2,3,2,3,False,0.25,0.0,0,0,0,111,70,50,5,5,5,5,False,
P2_result/phase_a_main/hotpotqa/combine_all_budget_proportional_s0,combine_all_budget_proportional_s0,128,accepted,9,10,2,11,-0.040000000000000036,0.7182567740118172,0.946394630357186,0.8826567931010221,1.0,0.8826567931010221,0.0,0.0,1933,0,3,2,4,5,5,True,0.5,0.0,0,0,0,137,111,119,5,5,5,5,False,
P2_result/phase_a_main/hotpotqa/combine_all_budget_proportional_s0,combine_all_budget_proportional_s0,189,accepted,9,12,3,16,-0.033333333333333326,0.745127141139808,0.946394630357186,0.8514308326546217,1.0,0.8514308326546217,0.0,0.0,1751,0,3,2,4,6,6,True,0.5,0.0,0,0,0,147,111,129,5,5,5,5,False,
P2_result/phase_a_main/hotpotqa/combine_all_budget_proportional_s0,combine_all_budget_proportional_s0,191,accepted,9,15,1,18,-0.00666666666666671,0.9738369130206977,0.946394630357186,0.8514308326546217,0.9985795454545454,0.8514308326546217,0.0,0.0,2176,0,3,2,4,7,7,True,0.5,0.0,0,0,0,151,111,108,5,5,5,5,False,
P2_result/phase_a_main/hotpotqa/combine_all_immediate_s0,combine_all_immediate_s0,60,accepted,8,9,0,10,-0.006666666666666654,0.7681531592006852,0.946394630357186,0.7758620689655172,0.7708333333333334,0.7708333333333334,0.0,0.0,706,0,3,2,1,1,1,False,0.5,0.0,0,0,0,42,24,25,5,5,5,5,False,
P2_result/phase_a_main/hotpotqa/combine_all_immediate_s0,combine_all_immediate_s0,81,rejected,8,12,0,,,0.7537153483720096,0.8112781244591328,0.3811588738059326,0.7708333333333334,0.3811588738059326,0.0,0.0,1416,0,2,3,1,3,3,False,0.0,,,,,,,,,,,,,
P2_result/phase_a_main/hotpotqa/combine_all_immediate_s0,combine_all_immediate_s0,83,accepted,9,12,0,14,-0.023333333333333317,0.6913698302025114,0.946394630357186,0.6107105721076309,1.0,0.6107105721076309,0.004918032786885246,0.0,1414,0,3,2,1,3,3,False,0.25,0.0,0,0,0,85,25,67,5,5,5,5,False,
P2_result/phase_a_main/hotpotqa/combine_all_immediate_s0,combine_all_immediate_s0,87,accepted,8,14,0,16,0.00666666666666671,0.672294817075638,0.8112781244591328,0.3857376283846872,0.7708333333333334,0.3857376283846872,0.0,0.0,1774,0,3,2,1,4,4,True,0.0,0.0,0,0,0,102,24,85,5,5,5,5,False,
P2_result/phase_a_main/hotpotqa/combine_all_immediate_s0,combine_all_immediate_s0,117,accepted,14,17,2,18,0.010000000000000009,0.9760375431388945,0.946394630357186,0.8423598386804837,1.0,0.8423598386804837,0.0,0.0,1261,0,3,2,4,5,5,True,0.5,0.0,1,0,1,120,85,87,5,5,5,5,False,
P2_result/phase_a_main/hotpotqa/combine_all_immediate_s0,combine_all_immediate_s0,121,accepted,9,13,0,20,0.013333333333333308,0.6459215688142138,0.946394630357186,0.6107105721076309,1.0,0.6107105721076309,0.004672897196261682,0.0,1500,0,3,2,1,4,4,False,0.25,0.0,0,0,0,98,25,80,5,5,5,5,False,
P2_result/phase_a_main/hotpotqa/combine_all_score_plateau_s0,combine_all_score_plateau_s0,74,accepted,3,6,0,7,0.020000000000000018,0.9195770035933354,0.946394630357186,1.0,0.7664734320184821,0.7664734320184821,0.0026455026455026454,0.0,1909,0,3,2,3,3,3,False,0.25,0.0,0,0,0,116,70,55,5,5,5,5,False,
