model,dataset,algo,policy,event,run_dir,iteration,p1_idx,p2_idx,anc_idx,length_delta_vs_anc_total,sentence_entropy,predictor_entropy,coverage_min,coverage_p1,coverage_p2,novelty_fraction,behavioral_delta_rate,noop_predictor_rate,parent_gen_depth_max,subsample_win,subsample_tie,subsample_loss,snr_semantic_novelty_rate,slc_lost_count_max,n_merged_sentences,n_p1_sentences,n_p2_sentences,judge_clarity,judge_specificity,judge_internal_consistency,judge_coverage_vs_parents,judge_contradiction_present,selection_proxy_score
gpt-4.1-mini,hover,original,score_plateau,accepted,P1_result/phase_a_main/hover/original_score_plateau_s0,109,9,11,0,1375,0.6973038345409183,0.946394630357186,0.6174862796477969,0.6174862796477969,0.7651515151515151,0.0,0.0,0.25,3,0,3,2,0.0,2,82,44,60,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,combine_all,budget_proportional,accepted,P2_result/phase_a_main/hotpotqa/combine_all_budget_proportional_s0,74,3,6,0,1909,0.9195770035933354,0.946394630357186,0.7664734320184821,1.0,0.7664734320184821,0.0026455026455026454,0.0,0.25,3,0,3,2,0.0,0,116,70,55,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,combine_all,budget_proportional,accepted,P2_result/phase_a_main/hotpotqa/combine_all_budget_proportional_s0,95,3,5,0,1889,0.9280489369364429,0.946394630357186,0.7661775740303164,1.0,0.7661775740303164,0.0026917900403768506,0.0,0.25,3,0,3,2,0.0,0,111,70,50,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,combine_all,budget_proportional,accepted,P2_result/phase_a_main/hotpotqa/combine_all_budget_proportional_s0,128,9,10,2,1933,0.7182567740118172,0.946394630357186,0.8826567931010221,0.8826567931010221,1.0,0.0,0.0,0.5,5,0,3,2,0.0,0,137,111,119,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,combine_all,budget_proportional,accepted,P2_result/phase_a_main/hotpotqa/combine_all_budget_proportional_s0,189,9,12,3,1751,0.745127141139808,0.946394630357186,0.8514308326546217,0.8514308326546217,1.0,0.0,0.0,0.5,6,0,3,2,0.0,0,147,111,129,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,combine_all,budget_proportional,accepted,P2_result/phase_a_main/hotpotqa/combine_all_budget_proportional_s0,191,9,15,1,2176,0.9738369130206977,0.946394630357186,0.8514308326546217,0.8514308326546217,0.9985795454545454,0.0,0.0,0.5,7,0,3,2,0.0,0,151,111,108,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,combine_all,immediate,accepted,P2_result/phase_a_main/hotpotqa/combine_all_immediate_s0,60,8,9,0,706,0.7681531592006852,0.946394630357186,0.7708333333333334,0.7758620689655172,0.7708333333333334,0.0,0.0,0.5,1,0,3,2,0.0,0,42,24,25,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,combine_all,immediate,accepted,P2_result/phase_a_main/hotpotqa/combine_all_immediate_s0,83,9,12,0,1414,0.6913698302025114,0.946394630357186,0.6107105721076309,0.6107105721076309,1.0,0.004918032786885246,0.0,0.25,3,0,3,2,0.0,0,85,25,67,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,combine_all,immediate,accepted,P2_result/phase_a_main/hotpotqa/combine_all_immediate_s0,87,8,14,0,1774,0.672294817075638,0.8112781244591328,0.3857376283846872,0.3857376283846872,0.7708333333333334,0.0,0.0,0.0,4,0,3,2,0.0,0,102,24,85,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,combine_all,immediate,accepted,P2_result/phase_a_main/hotpotqa/combine_all_immediate_s0,117,14,17,2,1261,0.9760375431388945,0.946394630357186,0.8423598386804837,0.8423598386804837,1.0,0.0,0.0,0.5,5,0,3,2,0.0,1,120,85,87,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,combine_all,immediate,accepted,P2_result/phase_a_main/hotpotqa/combine_all_immediate_s0,121,9,13,0,1500,0.6459215688142138,0.946394630357186,0.6107105721076309,0.6107105721076309,1.0,0.004672897196261682,0.0,0.25,4,0,3,2,0.0,0,98,25,80,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,combine_all,score_plateau,accepted,P2_result/phase_a_main/hotpotqa/combine_all_score_plateau_s0,74,3,6,0,1909,0.9195770035933354,0.946394630357186,0.7664734320184821,1.0,0.7664734320184821,0.0026455026455026454,0.0,0.25,3,0,3,2,0.0,0,116,70,55,5,5,5,5,False,0.3
gpt-4.1-mini,hotpotqa,combine_all,score_plateau,accepted,P2_result/phase_a_main/hotpotqa/combine_all_score_plateau_s0,180,9,11,0,2892,0.8880694070128001,0.946394630357186,0.765625,0.9988682631522554,0.765625,0.0,0.0,0.25,5,0,4,1,0.0,0,154,128,56,5,5,5,5,False,0.4
gpt-4.1-mini,hotpotqa,combine_all,score_plateau,accepted,P2_result/phase_a_main/hotpotqa/combine_all_score_plateau_s0,286,15,16,9,262,0.9679255830239177,0.946394630357186,0.8344567315568396,0.8468865623884203,0.8344567315568396,0.0,0.0,0.25,7,0,4,1,0.0,1,151,137,142,5,5,5,5,False,0.4
