model,dataset,algo,policy,event,run_dir,iteration,p1_idx,p2_idx,anc_idx,length_delta_vs_anc_total,sentence_entropy,predictor_entropy,coverage_min,coverage_p1,coverage_p2,novelty_fraction,behavioral_delta_rate,noop_predictor_rate,parent_gen_depth_max,subsample_win,subsample_tie,subsample_loss,snr_semantic_novelty_rate,slc_lost_count_max,n_merged_sentences,n_p1_sentences,n_p2_sentences,judge_clarity,judge_specificity,judge_internal_consistency,judge_coverage_vs_parents,judge_contradiction_present,selection_proxy_score
qwen3-8b,hotpotqa,original,immediate,rejected,P4_result/phase_a_main/hotpotqa/original_immediate_s0,78,10,16,6,1412,0.8500715525236522,0.946394630357186,0.6549830094166688,0.8303569104076827,0.6549830094166688,0.0,0.0,0.25,7,0,2,3,0.0,7,95,98,47,5,5,5,5,False,0.2
qwen3-8b,hotpotqa,original,immediate,rejected,P4_result/phase_a_main/hotpotqa/original_immediate_s0,139,11,16,0,1114,0.912329060024027,0.946394630357186,0.6128516624040921,0.6128516624040921,0.7980769230769231,0.0,0.0,0.25,3,0,2,3,0.0,0,66,35,47,5,5,5,5,False,0.2
gpt-4.1-mini,musique,combine_all,score_plateau,rejected,runs/musique/gpt41mini/combine_all_score_plateau_s0,58,2,3,0,780,0.7624949631630609,0.946394630357186,0.7661290322580645,0.7661290322580645,0.8035714285714286,0.0,0.0,0.5,1,0,1,4,0.0,0,45,22,27,5,5,5,5,False,0.1
gpt-4.1-mini,musique,combine_all,budget_proportional,rejected,runs/musique/gpt41mini/combine_all_budget_proportional_s0,123,3,7,0,1870,0.8710826161676468,0.946394630357186,0.7683967074592075,0.7683967074592075,1.0,0.0029940119760479044,0.2,0.25,3,0,2,3,0.0,0,105,44,68,5,5,5,5,False,0.2
gpt-4.1-mini,musique,combine_all,budget_proportional,rejected,runs/musique/gpt41mini/combine_all_budget_proportional_s0,164,6,14,1,2289,0.8692721900397341,0.946394630357186,0.8296150862366838,0.8296150862366838,0.9964488636363636,0.0,0.2,0.25,6,0,1,4,0.0,5,116,82,97,5,5,5,5,False,0.1
gpt-4.1-mini,musique,original,score_plateau,rejected,runs/musique/gpt41mini/original_score_plateau_s0,137,6,8,2,413,0.9011329321623858,0.946394630357186,0.8228711429881546,0.8228711429881546,0.8601051095174423,0.0,0.0,0.5,5,0,2,3,0.0,1,72,52,64,5,5,5,5,False,0.2
gpt-4.1-mini,musique,combine_all,immediate,rejected,runs/musique/gpt41mini/combine_all_immediate_s0,62,4,9,0,2282,0.9108871400656761,0.946394630357186,0.7928260869565218,0.7928260869565218,1.0,0.0,0.0,0.5,3,0,2,3,0.0,0,94,69,68,5,5,5,5,False,0.2
gpt-4.1-mini,musique,combine_all,immediate,rejected,runs/musique/gpt41mini/combine_all_immediate_s0,79,7,9,2,1177,0.959674730253394,0.946394630357186,0.7934782608695652,0.7934782608695652,0.8523567984554316,0.0,0.0,0.25,4,0,2,3,0.0,0,97,73,68,5,5,5,5,False,0.2
gpt-4.1-mini,musique,original,budget_proportional,rejected,runs/musique/gpt41mini/original_budget_proportional_s0,58,2,3,0,780,0.7624949631630609,0.946394630357186,0.7661290322580645,0.7661290322580645,0.8035714285714286,0.0,0.0,0.5,1,0,1,4,0.0,0,45,22,27,5,5,5,5,False,0.1
gpt-4.1-mini,musique,original,immediate,rejected,runs/musique/gpt41mini/original_immediate_s0,10,1,2,0,812,0.7536740576781502,0.946394630357186,0.7708333333333334,0.8035714285714286,0.7708333333333334,0.0,0.0,0.5,1,0,2,3,0.0,0,47,29,22,5,5,5,5,False,0.2
gpt-4.1-mini,musique,original,immediate,rejected,runs/musique/gpt41mini/original_immediate_s0,58,6,7,2,1189,0.9924069479917748,0.946394630357186,0.765625,0.765625,0.7692307692307693,0.0,0.0,0.5,4,0,2,3,0.0,0,80,54,62,5,5,5,5,False,0.2
qwen3-8b,musique,combine_all,immediate,rejected,runs/musique/qwen3_8b/combine_all_immediate_s0,158,13,14,12,1188,0.8161767203564935,0.946394630357186,0.8191638795986622,0.8333333333333334,0.8191638795986622,0.0,0.0,0.25,5,0,2,3,0.0,0,114,106,64,5,5,5,5,False,0.2
